"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Erlec1",0.264020988949966,0.392149858203819,0.065,0.048,1
"Scarf1",0.264134061008483,0.504590902663789,0.06,0.043,1
"Tshz1",0.264184211604769,0.467260588938045,0.071,0.053,1
"Nras",0.264663763100691,0.542120283272257,0.054,0.039,1
"Tspan31",0.265030093210505,0.416642813605888,0.071,0.053,1
"Mpzl2",0.26552251919265,1.43154149098208,0.034,0.022,1
"Commd10",0.265528378542455,0.455465338548714,0.076,0.058,1
"Npm1",0.265634087712542,0.342594171850959,0.054,0.039,1
"Dhx8",0.26596282254122,0.397425357641942,0.028,0.017,1
"Adgre5",0.266035740570946,0.501764680219049,0.097,0.077,1
"Zbtb7a",0.266178450544973,0.20127457143859,0.106,0.084,1
"Mdm4",0.266255139044258,0.125877199537394,0.162,0.135,1
"Epha1",0.266748634720904,0.219799048526619,0.028,0.017,1
"Mrpl50",0.267130551614453,0.459925434634146,0.043,0.029,1
"Mtf1",0.267442576720793,0.681826991273321,0.054,0.039,1
"Fras1",0.267508661275268,0.380151332547046,0.119,0.096,1
"Zbtb6",0.267774500169429,2.97652296204103,0.015,0.007,1
"Ddx43",0.267774500169429,2.36287845515672,0.015,0.007,1
"Txndc12",0.268685134596387,0.871693599764221,0.048,0.034,1
"Slc16a2",0.268838177050266,0.280504325101604,0.132,0.108,1
"Esrp2",0.268884990581708,1.49482098533653,0.015,0.007,1
"Arl6ip5",0.268913054133702,0.540108239207235,0.114,0.092,1
"Pank3",0.26925953716284,0.788564903706878,0.054,0.039,1
"Spint1",0.269297195259178,0.700809984929285,0.06,0.043,1
"Ralb",0.269653002657765,0.341334382418572,0.043,0.029,1
"Cactin",0.270163049574026,0.425352179205068,0.034,0.022,1
"Zbtb26",0.270556647529828,0.892099916457069,0.015,0.007,1
"2610002M06Rik",0.270556647529828,1.83851401747808,0.015,0.007,1
"Lpar2",0.270556647529828,2.04661184942237,0.015,0.007,1
"Ldah",0.270632635213978,0.511644384220558,0.078,0.06,1
"Xndc1",0.271241792158325,1.08899798010994,0.034,0.022,1
"Hipk2",0.271571966740727,0.16788222834559,0.246,0.217,1
"Papolg",0.2716020278734,1.4095587106902,0.034,0.022,1
"Dclre1b",0.271675035387098,1.06986249270942,0.015,0.007,1
"Enpp5",0.271675035387098,1.16228513589966,0.015,0.007,1
"Sec11a",0.271849920272971,0.545063236746639,0.125,0.104,1
"Nfkbiz",0.272121958012756,0.893521078018326,0.073,0.055,1
"Trappc4",0.272125022014413,1.07734554478892,0.045,0.031,1
"Chaf1a",0.272235414870731,1.6936637860628,0.015,0.007,1
"Lrrc41",0.272323481894081,0.54412188084613,0.034,0.022,1
"Cct6a",0.272481114502552,0.678959011829317,0.061,0.046,1
"Cars2",0.272593539767038,0.261441527404968,0.076,0.058,1
"Timm17a",0.272648786159004,0.693906113728709,0.089,0.07,1
"Gm13091",0.272796584980005,1.23400344798269,0.015,0.007,1
"S100a6",0.273046246374638,1.00937618149214,0.034,0.022,1
"Skida1",0.273293178521366,1.37379541746511,0.039,0.027,1
"Bend7",0.273344455876176,0.164586833556202,0.071,0.053,1
"Psrc1",0.273358545903731,0.776562355530959,0.015,0.007,1
"Cd3eap",0.273358545903731,0.393210397016864,0.015,0.007,1
"Tbccd1",0.273408120163052,0.608121281185348,0.034,0.022,1
"Ppp1r37",0.273484771406151,0.712693955243309,0.054,0.039,1
"Kcnj15",0.273875988504328,0.107917975334948,0.304,0.267,1
"Dph7",0.27395152524579,0.177170563838173,0.034,0.022,1
"Jmjd8",0.273960415525436,1.29724549584307,0.039,0.027,1
"Zfp207",0.274020260176967,0.366115518983951,0.205,0.178,1
"Zfp687",0.274132851083994,1.52367701147319,0.034,0.022,1
"Mxd1",0.274314218535732,0.244965376496901,0.034,0.022,1
"Csf1",0.275049175414522,0.738077559316308,0.015,0.007,1
"Rcan3",0.275049175414522,0.379788478574707,0.015,0.007,1
"Zfp709",0.275049175414522,0.293082441669494,0.015,0.007,1
"Parp9",0.275260779456201,0.88030580725913,0.056,0.041,1
"Bod1l",0.275460290875542,0.205817134496489,0.13,0.106,1
"Il33",0.275614301437202,1.46929175720406,0.015,0.007,1
"Rybp",0.275947797404883,0.318476491105574,0.071,0.053,1
"Bud31",0.27595041682644,0.737025942824105,0.034,0.022,1
"Tnpo3",0.275992842330069,0.179227814042582,0.156,0.13,1
"Akr1c19",0.276018028330245,0.14348464703496,0.065,0.048,1
"Trim68",0.276180219183137,0.392542327813432,0.015,0.007,1
"Psap",0.276636510465116,0.143681889431648,0.533,0.482,1
"Atp6v1c1",0.276653618947444,0.305645976287047,0.095,0.075,1
"Adcy9",0.276741147242261,0.32694462142256,0.078,0.06,1
"Usp47",0.276825121395858,0.188418937072969,0.151,0.125,1
"Zmynd15",0.277055943384328,0.125580863847363,0.065,0.048,1
"Ces2c",0.277314430541133,0.297119364789916,0.015,0.007,1
"Mcoln1",0.277655999002064,1.11796819338962,0.05,0.036,1
"Mrps36",0.277760273444997,0.129473368315205,0.108,0.087,1
"Rfx2",0.277882724495449,0.421350449565122,0.015,0.007,1
"Vrk1",0.278142323517016,0.480411768375658,0.034,0.022,1
"Thrap3",0.278779422648294,0.292310600334413,0.143,0.12,1
"Eml2",0.27887558558303,0.119004512715742,0.034,0.022,1
"Gadd45g",0.279425845077933,0.153865850888847,0.147,0.12,1
"Foxk2",0.27976339208293,0.339227916645798,0.054,0.039,1
"C2cd5",0.280010454063492,0.447834927783562,0.095,0.075,1
"Trappc13",0.280069244165176,0.748592661869911,0.061,0.046,1
"E2f5",0.280346051575058,0.545641768060295,0.034,0.022,1
"Gca",0.280714489542095,0.705351561444618,0.034,0.022,1
"Dnajb11",0.280958144702324,0.273359083726326,0.082,0.063,1
"Fam50a",0.281083256180194,0.306505064936909,0.034,0.022,1
"Abhd14a",0.281219774576694,0.797293777186318,0.05,0.036,1
"Zbtb34",0.281452351530361,0.440635885507709,0.034,0.022,1
"Wrap73",0.281734739385969,0.276744595680281,0.006,0.012,1
"Cs",0.281976844605809,0.837582944799417,0.117,0.096,1
"Zfp438",0.282007377979303,0.932391780060279,0.045,0.031,1
"Nek6",0.282192770168816,1.33756524435859,0.024,0.014,1
"2610528J11Rik",0.282462601305949,0.372813933739647,0.078,0.06,1
"Taz",0.282558042635557,0.443825867189321,0.138,0.116,1
"Deptor",0.282595521947135,0.300939640855099,0.153,0.128,1
"Ino80",0.282606310125768,0.412400778108953,0.11,0.089,1
"Ilf2",0.282792041825746,0.451560321521463,0.097,0.077,1
"Msn",0.282901989723507,0.161772615459277,0.121,0.099,1
"Col6a1",0.283081022199117,0.172600921708133,0.006,0.012,1
"Vps52",0.28367382882892,0.397499479497355,0.034,0.022,1
"Med25",0.283732261614231,0.303213837687682,0.071,0.053,1
"Ddx24",0.284028882802459,0.120571563651861,0.209,0.178,1
"Ikzf4",0.284093590355111,2.95957938447974,0.011,0.005,1
"6430548M08Rik",0.284093590355111,3.43833083777301,0.011,0.005,1
"Wdr46",0.284093590355111,2.51703416417693,0.011,0.005,1
"Fabp5",0.284431657236087,1.01892951110074,0.006,0.012,1
"Gm11100",0.28476999624513,2.66778485555267,0.011,0.005,1
"Slfn1",0.28476999624513,2.90277609279872,0.011,0.005,1
"Rap2c",0.284835762068881,0.769627587318865,0.024,0.014,1
"Dab2ip",0.28503497985285,0.595876826305899,0.045,0.031,1
"Cyp2j6",0.28503497985285,0.619603396107002,0.045,0.031,1
"Src",0.285277883406227,1.13956071870914,0.024,0.014,1
"Il4ra",0.285277883406227,1.16361936212614,0.024,0.014,1
"Fbxo25",0.285277883406227,1.12033847034615,0.024,0.014,1
"Lonrf1",0.285277883406227,0.136257587107423,0.024,0.014,1
"Gm28376",0.285447490758004,2.34452945799164,0.011,0.005,1
"Zscan20",0.285447490758004,2.09920470963041,0.011,0.005,1
"Hmgcll1",0.285447490758004,1.94962308048786,0.011,0.005,1
"Bhmt",0.285447490758004,1.81822008730709,0.011,0.005,1
"Dact2",0.285675157362791,0.546671993434227,0.045,0.031,1
"Gimap3",0.285720468533404,0.86700547127648,0.024,0.014,1
"Yju2",0.285720468533404,1.01649817241362,0.024,0.014,1
"Coq4",0.28581735991304,0.416128088400129,0.039,0.027,1
"3110009E18Rik",0.286126074112052,1.91380177445003,0.011,0.005,1
"2310009B15Rik",0.286126074112052,1.64434221474237,0.011,0.005,1
"Nr4a2",0.286126074112052,2.78970715858861,0.011,0.005,1
"Atp8b2",0.286126074112052,2.2866067634491,0.011,0.005,1
"Ccr9",0.286126074112052,1.37535740331504,0.011,0.005,1
"Zpbp",0.286126074112052,1.95421710485888,0.011,0.005,1
"Slc47a2",0.286126074112052,1.94477244568105,0.011,0.005,1
"Hus1",0.286163517510374,0.768245164389103,0.024,0.014,1
"Fer",0.286563474318466,0.350117828999083,0.078,0.06,1
"Nif3l1",0.286607030396272,1.09692621953652,0.024,0.014,1
"Lrrc51",0.286654223176669,0.178092033019758,0.034,0.022,1
"Sik2",0.2867071611176,0.726224347167905,0.134,0.113,1
"Ralyl",0.286805746521022,1.61790148868265,0.011,0.005,1
"Wasf1",0.286805746521022,1.50195335977969,0.011,0.005,1
"Dock3",0.286805746521022,1.69485297361011,0.011,0.005,1
"Enpp4",0.287051007249399,1.01044055974917,0.024,0.014,1
"Fbxw11",0.287188393609546,0.21045163900601,0.134,0.111,1
