"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NFE2L1",2.62450343795171e-06,0.856529642072757,0.28,0.174,0.0595998485724453
"RBX1",4.82627126140618e-15,0.856009812456548,0.553,0.356,1.09599794075273e-10
"PDE4A",1.64266763419847e-06,0.854727970204248,0.27,0.161,0.037303339305013
"IL6R",6.09762910552039e-14,0.852390533925134,0.47,0.256,1.38471059357263e-09
"LRCH4",3.29777953463735e-05,0.852280430607213,0.283,0.193,0.748892754520795
"PSEN1",2.03355531238478e-08,0.851307902411562,0.345,0.208,0.00046180007588946
"AKIRIN2",5.66745862525797e-07,0.850503389565149,0.312,0.193,0.0128702317920983
"LAPTM4A",3.6619706022672e-17,0.849263383472804,0.599,0.379,8.31596904068859e-13
"LAMP2",7.61662426390433e-14,0.848973372099201,0.536,0.35,1.72965920409004e-09
"S100A4",9.31143045913175e-43,0.846791316049361,0.868,0.698,2.11453274296423e-38
"MBD2",3.96840345805457e-24,0.846399162276381,0.707,0.521,9.01184741289611e-20
"ARPC5",4.64913832029905e-31,0.845795503752929,0.78,0.567,1.05577282115671e-26
"CSK",8.68776048586753e-24,0.844164241933604,0.73,0.531,1.97290352873566e-19
"CREBL2",2.13480833500539e-09,0.84297942440646,0.388,0.24,4.84793624796374e-05
"SHKBP1",7.359532354631e-10,0.842173996273334,0.451,0.294,1.67127620241315e-05
"OS9",1.93587953738863e-16,0.841287804103346,0.592,0.382,4.39618884145584e-12
"CHST2",1.59049584341596e-06,0.837968755341029,0.326,0.222,0.0361185701081331
"RAB5C",2.04598466441722e-07,0.836403829298471,0.296,0.174,0.00464622657442506
"MKNK1",7.57096691052428e-08,0.835145565136993,0.332,0.205,0.00171929087571096
"PLEK",1.58524920588817e-27,0.834544625155288,0.803,0.514,3.59994242165145e-23
"RYBP",3.11428236980249e-11,0.833157892057824,0.5,0.343,7.07222383358447e-07
"RNU4ATAC",2.10238957033102e-05,0.831926418830775,0.253,0.161,0.477431647526471
"GNG5",6.95098383678853e-20,0.83023655280924,0.664,0.489,1.57849891949631e-15
"ALDOA",1.08206578266385e-17,0.824189022289282,0.648,0.468,2.45726318585135e-13
"ADRBK1",2.94941593059352e-24,0.821925191992176,0.76,0.55,6.69782863678484e-20
"OAS1",3.27580947402984e-26,0.818895520390358,0.747,0.499,7.43903573457437e-22
"PSMB3",1.19419686102579e-06,0.818002364319442,0.339,0.221,0.0271190165170347
"CNIH4",6.01009102661538e-06,0.81652096656248,0.286,0.184,0.136483157123409
"EMP3",6.76914465817054e-32,0.813410858779587,0.826,0.656,1.53720506042395e-27
"DICER1",3.40604038433752e-15,0.81323682994032,0.602,0.393,7.73477710879208e-11
"LAMTOR4",1.32569738408423e-06,0.812257158805386,0.355,0.244,0.0301052618951688
"AP2A2",2.00440632830294e-06,0.808542368829156,0.319,0.211,0.0455180633094314
"PRELID1",2.62681495198638e-06,0.80729437219846,0.339,0.232,0.0596523407446586
"ADAM17",1.87708778714392e-10,0.804849244477484,0.47,0.311,4.26267865582513e-06
"HVCN1",4.20271042573792e-11,0.803075050111756,0.352,0.183,9.54393510580825e-07
"LY6E",2.97459922232173e-40,0.801923735373769,0.891,0.678,6.75501737397041e-36
"GPR155",1.93456404302871e-08,0.799539239227762,0.342,0.205,0.000439320148531391
"S100A6",9.29017679687575e-41,0.799457495442426,0.839,0.744,2.10970624880251e-36
"SCLT1",4.48632073613802e-07,0.799424437157605,0.329,0.205,0.0101879857596958
"GSR",8.51889973511119e-06,0.798107994223702,0.336,0.236,0.19345569408464
"QSER1",3.61109591273661e-05,0.796529001880717,0.257,0.167,0.820043770823356
"ABR",4.64898696963463e-07,0.790447398128637,0.342,0.219,0.0105573845093433
"RUFY3",1.72138628685995e-07,0.7860950183959,0.332,0.204,0.00390909611883026
"ATP2B1",3.05961955051143e-19,0.784596293664712,0.707,0.505,6.94809003725642e-15
"CMTM7",6.3406206585265e-09,0.783174813056795,0.408,0.254,0.000143989154534478
"TCF12",5.07786837970739e-08,0.776651670914636,0.342,0.206,0.00115313313034775
"SPTLC2",1.23946938495307e-07,0.774480188764891,0.424,0.3,0.00281471102628994
"PPP1R9B",6.71933611865435e-10,0.77414079109756,0.454,0.287,1.52589403918522e-05
"VAV1",9.20094617131088e-11,0.774013442410995,0.461,0.289,2.08944286604299e-06
"GLIPR1",9.06993191609464e-18,0.773804811208765,0.684,0.463,2.05969083882593e-13
"MLX",1.24091878785525e-07,0.772273599807498,0.329,0.197,0.00281800247534048
"BNIP3L",6.15363101402573e-09,0.770403671055188,0.444,0.293,0.00013974280669751
"HLA-DMA",2.56005256140761e-09,0.770346816531581,0.418,0.267,5.81362336170054e-05
"ARPC4",1.18846938163901e-13,0.769132935203507,0.612,0.446,2.69889511876403e-09
"STRN4",2.27044777913616e-05,0.767113072069752,0.26,0.162,0.51559598616403
"ZCCHC6",6.75340140850052e-12,0.760523142684678,0.562,0.401,1.53362992585638e-07
"ARPC1B",9.97720443571059e-61,0.757861823335463,0.941,0.785,2.26572335530552e-56
"SNX2",9.06273080994851e-11,0.756496888073263,0.398,0.226,2.05805553963121e-06
"NCKAP1L",1.11778587986687e-14,0.756078292178081,0.618,0.419,2.53837995458967e-10
"PLSCR1",2.43535374562018e-11,0.755380259206757,0.507,0.325,5.53044482092886e-07
"DNAJB12",5.35655747239643e-05,0.752595258130154,0.257,0.165,1
"VPS35",1.78229975902224e-14,0.751328788092114,0.605,0.419,4.0474245227636e-10
"IL10RA",3.02351587817032e-14,0.750968814473731,0.618,0.433,6.86610220773699e-10
"LAMTOR3",2.24109575629696e-06,0.7492925051974,0.322,0.205,0.0508930435297476
"FAM89B",1.54844985263892e-06,0.745160096434076,0.408,0.294,0.0351637477035771
"GALC",1.4933532366746e-06,0.744076413309888,0.28,0.166,0.0339125586516435
"GCLC",8.99685130729942e-05,0.742601905691799,0.26,0.17,1
"STAT2",6.65640107011536e-08,0.742535580143657,0.408,0.279,0.0015116021190125
"LAP3",1.93612826760861e-05,0.740708391537176,0.316,0.213,0.43967536829124
"IL17RA",1.28152718720107e-10,0.740585155111362,0.487,0.315,2.91022008941492e-06
"BST2",2.64610770669506e-15,0.737880818711163,0.645,0.453,6.0090459911338e-11
"CEBPG",2.12615392413808e-05,0.73781904083861,0.263,0.165,0.482828294632517
"TRAK1",1.84707528450954e-06,0.736072154734052,0.306,0.189,0.0419452326359273
